dist,2,3,5,6,7,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,39,40,41,42,44,45,46,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,65,66,67,70,71,72,73,74,75,76,80,26a,26b,38a,38b,47a,47b,8a,8b
20,20,25,20,16,22,200,76,25,19,19,21,21,18,17,0,12281,71,22,1949,22,24,23,23,24,834,23,21,23,23,23,24,117,23,27,44,21,196,12775,857,14,28,25,20,45,41,22,16,18,15,13,23,13,20,13729,31,20,24,24,24,24,24,34,57,24,23,23,24,35,35,78,12778
21,12273,12278,12273,12269,12275,12452,12329,12278,12272,12272,12274,12276,12271,12270,12281,0,12323,12275,12234,12275,12277,12276,12276,12277,12065,12276,12274,12276,12276,12276,12277,12370,12276,12280,12299,12274,12448,12097,12086,12273,12281,12278,12273,12274,12294,12275,12269,12271,12274,12272,12276,12272,12273,13002,12284,12273,12277,12277,12277,12277,12277,12287,12310,12277,12276,12276,12277,12288,12288,12307,12092
22,63,58,63,59,65,233,119,58,62,62,64,66,61,60,71,12323,0,49,1992,55,57,56,66,57,877,56,64,56,66,56,57,150,56,60,89,64,239,12818,900,63,71,58,63,88,82,63,57,59,64,62,56,62,61,13772,74,63,57,57,57,67,57,77,100,57,56,56,57,78,78,121,12821
23,14,9,14,10,16,184,70,9,13,13,15,17,12,11,22,12275,49,0,1943,6,8,7,17,8,828,7,15,7,17,7,8,101,7,11,40,15,190,12769,851,14,22,9,14,39,33,14,8,10,15,13,7,13,12,13723,25,14,8,8,8,18,8,28,51,8,7,7,8,29,29,72,12772
24,1941,1946,1941,1937,1943,2120,1997,1946,1940,1940,1942,1944,1939,1938,1949,12234,1992,1943,0,1943,1945,1944,1944,1945,2243,1944,1942,1944,1944,1944,1945,2038,1944,1948,1967,1942,2117,12734,2264,1941,1949,1946,1941,1942,1962,1943,1937,1939,1942,1940,1944,1940,1941,13842,1952,1941,1945,1945,1945,1945,1945,1955,1978,1945,1944,1944,1945,1956,1956,1975,12737
25,14,9,14,10,16,180,70,9,13,13,15,17,12,11,22,12275,55,6,1943,0,4,3,17,2,828,3,15,3,17,3,4,97,3,7,40,15,190,12769,851,14,22,9,14,39,33,14,8,10,15,13,3,13,12,13723,25,14,4,4,4,18,4,28,51,4,3,3,4,29,29,72,12772
27,16,11,16,12,18,182,72,11,15,15,17,19,14,13,24,12277,57,8,1945,4,0,1,19,6,830,1,17,5,19,1,2,95,1,9,42,17,192,12771,853,16,24,11,16,41,35,16,10,12,17,15,1,15,14,13725,27,16,2,2,0,20,2,30,53,2,1,1,2,31,31,74,12774
28,15,10,15,11,17,181,71,10,14,14,16,18,13,12,23,12276,56,7,1944,3,1,0,18,5,829,0,16,4,18,0,1,94,0,8,41,16,191,12770,852,15,23,10,15,40,34,15,9,11,16,14,0,14,13,13724,26,15,1,1,1,19,1,29,52,1,0,0,1,30,30,73,12773
29,11,20,11,11,13,195,67,20,10,10,10,18,9,12,23,12276,66,17,1944,17,19,18,0,19,829,18,12,18,18,18,19,112,18,22,41,12,191,12770,852,15,19,20,11,40,36,17,11,13,16,14,18,14,15,13724,26,11,19,19,19,15,19,29,48,19,18,18,19,30,30,73,12773
30,16,11,16,12,18,182,72,11,15,15,17,19,14,13,24,12277,57,8,1945,2,6,5,19,0,830,5,17,5,19,5,6,99,5,9,42,17,192,12771,853,16,24,11,16,41,35,16,10,12,17,15,5,15,14,13725,27,16,6,6,6,20,6,30,53,6,5,5,6,31,31,74,12774
